file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\QuotesReceiver.java,com.aaars.b.Fragments.QuotesReceiver$Anonymous8$Anonymous9,run/0,FALSE,176,2,4,0,4,2,8,11,0,2,0,8,0,0,0,0,1,0,10,2,2,1,1,0,0,0,26,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,setFragment/1[com.aaars.b.Fragment],FALSE,309,2,1,1,0,1,4,5,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,updateUI/1[com.aaars.b.UserData],FALSE,326,3,1,1,0,1,3,7,0,3,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,16,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],FALSE,146,30,18,0,18,17,18,136,0,8,1,18,1,1,0,1,0,0,5,16,31,0,1,2,0,0,111,4,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,logout/0,FALSE,335,2,1,1,0,1,6,13,0,1,0,6,0,0,0,0,0,0,0,0,3,0,0,1,0,0,17,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onStart/0,FALSE,139,2,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onBackPressed/0,FALSE,316,1,0,0,0,2,4,9,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onNavigationItemSelected/1[com.aaars.b.MenuItem],FALSE,93,6,1,0,1,9,11,44,2,3,1,11,1,1,0,0,0,0,10,1,3,0,1,0,0,0,28,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\DiscoverFragment.java,com.aaars.b.DiscoverFragment,"onCreateView/3[com.aaars.b.LayoutInflater,com.aaars.b.ViewGroup,com.aaars.b.Bundle]",FALSE,41,8,2,0,2,1,7,11,1,4,3,7,1,1,0,0,0,0,0,0,4,0,0,0,0,0,24,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\DiscoverFragment.java,com.aaars.b.DiscoverFragment,DiscoverFragment/0,TRUE,34,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\DiscoverFragment.java,com.aaars.b.DiscoverFragment,initializeData/0,FALSE,57,1,2,1,1,2,3,22,0,0,0,3,0,0,0,0,1,0,30,15,1,0,1,0,0,0,53,2,0,FALSE
C:\projects\automator\app\src\androidTest\java\com\aaars\b\ExampleInstrumentedTest.java,com.aaars.b.ExampleInstrumentedTest,useAppContext/0,FALSE,20,2,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\LocationWiFi.java,com.aaars.b.Fragments.LocationWiFi$Anonymous5,"onCheckedChanged/2[com.aaars.b.Fragments.CompoundButton,boolean]",FALSE,177,1,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\LocationWiFi.java,com.aaars.b.Fragments.LocationWiFi$Anonymous3,onClick/1[com.aaars.b.Fragments.View],FALSE,139,4,0,0,0,2,9,27,0,2,1,9,0,0,0,1,0,0,2,2,3,0,1,1,0,0,38,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\LocationWiFi.java,com.aaars.b.Fragments.LocationWiFi$Anonymous2,onClick/1[com.aaars.b.Fragments.View],FALSE,114,1,0,0,0,5,8,21,0,2,1,8,0,0,0,0,0,0,4,2,2,0,2,0,0,0,9,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\WiFiTimer.java,com.aaars.b.Fragments.WiFiTimer$Anonymous3,"onCheckedChanged/2[com.aaars.b.Fragments.CompoundButton,boolean]",FALSE,160,1,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\LocationWiFi.java,com.aaars.b.Fragments.LocationWiFi$Anonymous1,onCancelled/1[com.aaars.b.Fragments.DatabaseError],FALSE,105,1,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\LocationWiFi.java,com.aaars.b.Fragments.LocationWiFi$Anonymous1,onDataChange/1[com.aaars.b.Fragments.DataSnapshot],FALSE,77,2,3,0,3,4,9,25,0,0,1,9,0,0,0,0,0,0,9,6,4,0,2,0,0,0,8,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\RSS.java,com.aaars.b.Fragments.RSS$Anonymous2,onClick/1[com.aaars.b.Fragments.View],FALSE,104,1,0,0,0,5,9,17,0,1,1,9,0,0,0,0,0,0,4,2,1,0,2,0,0,0,8,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\WiFiOnTimer.java,com.aaars.b.Fragments.WiFiOnTimer$Anonymous2,onClick/1[com.aaars.b.Fragments.View],FALSE,121,3,0,0,0,8,8,17,0,1,1,8,0,0,0,0,0,0,14,9,4,0,0,0,0,0,14,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\WiFiTimer.java,com.aaars.b.Fragments.WiFiTimer$Anonymous1,onDataChange/1[com.aaars.b.Fragments.DataSnapshot],FALSE,92,2,3,0,3,2,10,30,0,0,1,10,0,0,0,0,0,0,16,11,4,0,1,0,0,0,7,1,0,FALSE
C:\projects\automator\app\src\main\java\com\aaars\b\Fragments\WiFiTimer.java,com.aaars.b.Fragments.WiFiTimer$Anonymous1,onCancelled/1[com.aaars.b.Fragments.DatabaseError],FALSE,126,1,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,FALSE
